A1	A2	A3	B1	B2	B3
0.19276577	0.1892549	0.19211976	0.06412412	0.06897374	0.06381966
0.00042771	0.00042771	0.00042771	0.00554589	0.00507277	0.00512698
1.09027646	1.13579597	0.99145258	0.42055306	0.42990653	0.45080646
8.35421739	8.69283906	8.60504618	9.01422507	8.98840395	8.83843582
0.08778096	0.08843384	0.09089801	0.00854912	0.00883973	0.00806172
50210.01446	40032.59397	49728.1755	51663.95253	52588.58178	46825.01772
1.36897717	1.40230102	1.37847259	1.01640756	1.04249167	1.01654414
0.00166321	0.00144358	0.00136933	0.17190132	0.17752947	0.18378566
1.00529509	0.99159624	0.99466372	0.98352344	0.96407771	1.03724208
1.66337411	1.65077136	1.59573961	1.11156138	1.17996304	1.12087667
0.86616477	0.9258118	0.94603056	0.57214986	0.54224424	0.59797897
1.24158268	1.23300055	1.32266726	0.39324306	0.3974214	0.4057505
0.0405401	0.03911261	0.04453374	0.00041786	0.00044873	0.00043587
0.03315072	0.03281362	0.03071299	0.14404127	0.14107303	0.14636553
0.03331399	0.03236783	0.03436112	0.00224955	0.00157925	0.00195832
0.1222121	0.12501611	0.1267636	0.47904105	0.50148884	0.48806551
0.67267976	0.64404033	0.66824893	0.0056912	0.00632573	0.00633069
0.03476038	0.04059081	0.03775462	0.12360742	0.14590995	0.13461814
0.18914375	0.19936572	0.18868275	0.03372797	0.03231381	0.03136099
0.09767906	0.09867997	0.11153478	0.0859405	0.08241479	0.08876636
0.04904431	0.04887634	0.05638704	0.2839583	0.28773698	0.29949759
0.11488771	0.11206686	0.10994814	0.03631	0.03516027	0.03820742
0.31498221	0.32279752	0.34039013	0.35962574	0.37466768	0.37735886
0.0023375	0.00383613	0.0026384	0.61746811	0.64181215	0.65027905
0.14426702	0.14324366	0.16199557	0.20544626	0.20105578	0.2249262
0.02142563	0.02139053	0.02063704	0.01440091	0.01572023	0.01571548
0.19549752	0.20665156	0.20257744	0.12048281	0.12310197	0.13577055
0.00288611	0.00212131	0.00146209	0.00040228	0.00040228	0.00040228
0.00038451	0.00038451	0.00038451	0.01770419	0.01859192	0.01817629
0.00038451	0.00038451	0.00038451	0.00511497	0.00603509	0.00564306
0.35864193	0.36363104	0.37287066	0.1687043	0.17193656	0.1728522
0.01819456	0.01910853	0.01800561	0.01187536	0.01165814	0.01158197
0.55388365	0.53544006	0.54006409	0.43009571	0.40701097	0.40626627
0.0005247	0.00045469	0.00059185	0.00099166	0.00082595	0.00095752
0.00115193	0.00123928	0.00101806	0.34779203	0.33558679	0.32833782
0.00038451	0.00038451	0.00038451	0.01893097	0.01755989	0.02071368
0.06579015	0.07164701	0.07319102	0.05090924	0.05135144	0.04490031
0.3696672	0.38150872	0.38710658	0.24586637	0.25856996	0.2789396
0.01396086	0.01224601	0.01102508	0.19184221	0.19260938	0.18277284
0.07779938	0.06887154	0.07775305	0.92662259	0.96500939	0.93077134
0.00038451	0.00038451	0.00038451	0.01855417	0.0176213	0.02248346
0.01103197	0.01049715	0.0102206	0.01070993	0.01079969	0.01086162
0.06367169	0.06537897	0.07034927	0.18828254	0.20122272	0.17364891
0.26767358	0.27240345	0.2808405	0.00044699	0.00040285	0.00052609
0.17781469	0.18001106	0.17974067	0.05524236	0.05171031	0.05454403
0.70241685	0.70787297	0.71939953	0.47412338	0.48961429	0.50189481
0.1785918	0.18431333	0.1782613	0.27555993	0.27643838	0.27324628
0.37951154	0.38747312	0.39190908	0.63495143	0.6444747	0.66795537
0.01425501	0.01258205	0.01229912	0.24125073	0.23045762	0.24395029
0.00038451	0.00038451	0.00038451	0.00040228	0.00040228	0.00040228
0.43476588	0.42781556	0.98403877	0.04895298	0.04738339	0.04538875
0.11196334	0.11147355	0.12182931	0.51009274	0.45006448	0.46251009
0.00268402	0.00211593	0.00189026	0.00240983	0.00352978	0.0029176
0.0073825	0.00827782	0.0048478	1.82553755	1.94724652	1.96334816
0.15155857	0.15427058	0.1529681	0.2488408	0.2572205	0.25746314
0.00063682	0.00051037	0.00058749	0.00124747	0.0009179	0.00126486
0.07509333	0.07253376	0.07299443	0.19548933	0.20193041	0.2058921
0.00038451	0.00038451	0.00038451	0.00081621	0.00179627	0.00100525
0.03976894	0.03940566	0.03884107	0.08577191	0.07890181	0.07788362
0.04439118	0.04330756	0.04646751	0.00586641	0.00555563	0.00449966
0.01350496	0.01184948	0.01329263	0.00659181	0.00650225	0.00843678
0.34518092	0.32857848	0.34333727	0.30734495	0.31475045	0.35150039
0.12283178	0.12873538	0.13166254	0.00841451	0.00782586	0.00882098
0.29759645	0.30047362	0.31260895	0.46495984	0.52838613	0.48633552
0.0742184	0.07186653	0.07523262	0.07375732	0.07439161	0.07769235
0.57181223	0.57333594	0.57059691	0.78744897	0.80117811	0.76962636
0.00512542	0.00464105	0.00523987	0.00040228	0.00040228	0.00040228
0.6066101	0.60182277	0.61840237	0.64788	0.636724	0.66432194
0.28931119	0.29719914	0.28789557	0.21014526	0.20493491	0.19649621
0.00134108	0.00131873	0.00133874	0.00095085	0.0007265	0.00079585
0.10277985	0.09997188	0.11397244	0.19797767	0.20248667	0.21069836
0.0292975	0.03227928	0.03179805	0.02914966	0.02987662	0.03015804
0.02270492	0.02469443	0.02511051	0.01139965	0.01137731	0.01282214
0.1060027	0.10752883	0.11143047	0.44638296	0.41172805	0.43736914
0.10714779	0.10667183	0.1057774	0.10276682	0.10649819	0.09995941
0.87221056	0.95211202	0.87837385	0.80934216	0.85030405	0.80392703
0.02111408	0.0221524	0.02226593	0.16325227	0.16602165	0.16970457
0.3416977	0.34882527	0.34565384	0.281037	0.29093024	0.28999241
0.38212705	0.38264079	0.41343693	0.21567073	0.23452708	0.23477122
0.00038451	0.00039108	0.00038451	0.00077085	0.00084194	0.00095804
0.70326908	0.70130276	0.73063359	0.31721176	0.3371554	0.34143037
0.03747186	0.04417525	0.03810568	0.1149079	0.13060265	0.12162794
0.00204012	0.00219549	0.00169135	0.1946597	0.19460172	0.19929729
1.028294	1.05864514	1.10075443	0.75770836	0.71564357	0.72882193
0.04571913	0.04707699	0.05160662	0.0162206	0.01698981	0.01723349
0.00381853	0.00366622	0.00420178	0.39881126	0.39808185	0.40434476
0.25931723	0.26640394	0.27996169	0.1465989	0.13935112	0.13834801
0.71312273	0.71250547	0.74901836	0.68518958	0.68013711	0.71051679
0.05356475	0.04951198	0.05393125	3.63380006	3.43212532	3.39056784
0.07728941	0.08078434	0.08390769	0.02214539	0.02357472	0.02392194
0.00342858	0.00547982	0.00504412	0.04684253	0.04801712	0.05147576
0.02335632	0.02141703	0.02420267	0.01113972	0.01278381	0.01204863
0.61840631	0.61844082	0.63342649	0.65683677	0.67350693	0.65874467
0.24619052	0.25278211	0.26549477	1.03794848	1.04812644	1.1843473
0.04943383	0.04765001	0.04732368	0.00841863	0.00744062	0.00862054
0.00546542	0.0060235	0.00589147	0.00059309	0.00040228	0.00040228
0.03748726	0.03942246	0.04004932	0.19813348	0.19283182	0.19361546
1.51134127	1.57492436	1.53603631	0.7953782	0.7971304	0.79321925
0.00038451	0.00038451	0.00038451	0.00040228	0.00040228	0.00040228
