wt1	wt2	pten1	pten2	rapa1	rapa2	geneName.1	geneName.2	RPKM_pten1	RPKM_pten2	RPKM_rapamycin1	RPKM_rapamycin2
27.15749819	36.40941343	21.35103549	30.74441813	34.16498816	30.06126798	95.08295002	98.13054821	92.51579651	111.8810773	147.4226818	141.820048
166.1907792	151.2539712	194.5917822	194.9433769	113.5378925	186.4830709	32.3610993	23.7979506	29.80547595	23.12557712	30.85161331	27.03225758
124.6650946	128.6228773	65.19184892	98.0350725	92.05198026	45.01039818	159.1883428	203.8698394	212.3951223	252.7647717	232.0023308	220.420246
17.05445403	30.42224499	34.38356769	44.61011753	44.1276853	32.55465273	19.16956866	17.00133684	20.72769935	17.89521027	18.70231605	20.36888638
541.1160232	598.3978657	422.0269079	370.3784864	604.0473899	604.5373573	10.10457565	15.94751032	10.10764668	11.91862724	17.03498511	16.3252418
38.70177056	64.03202708	44.58399023	50.98067021	51.27947057	52.32889442	10.24455427	7.734735148	7.780513708	6.727742059	8.104702509	7.508714535
287.62613	90.0729461	313.8825465	143.5172062	47.90279741	26.16271552	348.2653707	412.1761146	281.4102409	301.2197048	225.4889476	232.6919777
104.0288934	58.90364766	133.2609627	114.4271995	181.2007299	126.0843137	49.16711967	39.12789205	37.78877456	41.37046984	17.35529366	21.18388265
76.30929113	67.03855554	80.80614075	70.72238807	71.25365506	71.78508268	25.97933028	25.57842181	22.62838726	19.50297405	13.63890527	15.31179322
92.04345575	93.77744183	124.2175236	110.9597208	100.7347661	134.1652417	147.7064693	149.4036458	124.2615757	163.1910857	170.3561244	163.8317814
23.85613204	38.63406975	28.7017508	36.03700737	36.68235018	43.97665293	153.7328956	143.0830197	182.3578954	165.4827222	144.4364043	143.860144
93.62965732	42.36721877	73.80704678	65.30590239	80.74535901	75.54699079	12.79033496	9.761994742	10.90314042	9.141819226	6.668861131	7.930212124
96.0976138	87.35971143	107.5999825	116.7676099	73.70012572	73.34186936	20.47788595	21.61510103	18.71857143	14.84427242	12.89541757	13.42182831
87.7928016	67.45253849	109.0513739	68.31927021	99.42791697	97.89692975	72.55452974	77.21990411	86.1205298	82.17129465	66.99253973	70.18815172
31.49002669	41.86052978	27.9835897	42.9486879	35.37433912	23.3464854	47.96183948	50.66278806	46.17187342	67.20264377	58.38686812	47.52094146
90.35787211	53.80924222	73.03861231	72.99955204	93.81891048	62.10031416	103.0235384	101.7236682	92.60844856	100.2029926	117.1682519	103.0685154
30.32449982	15.79560676	21.51021734	59.68655696	19.35560353	33.22245117	28.98684045	30.58473337	27.02966868	29.62653477	24.59144441	26.70290913
199.7834353	190.7534593	202.6261744	170.5119956	194.1920051	190.0541123	105.6518059	131.5186351	113.5240321	112.4592824	87.63718739	82.52726
125.1633342	202.7555658	176.5489971	150.2411611	167.9693674	206.8449489	51.11970055	48.87698934	54.30044794	41.07748553	23.6823203	22.55823854
8.904617056	15.73544032	12.21606002	25.27977503	23.1108372	29.10952554	60.67590721	51.55019953	52.52004172	45.60713174	27.15694879	29.93390687
37.224998	46.22690125	34.12159414	21.81625204	31.68605137	47.68136132	16.15410151	18.71846283	16.83685269	16.38602302	13.79318345	15.45515098
30.45734508	25.02884203	25.73779615	25.15745809	22.5392985	23.64828708	8.960841895	10.67109617	8.460902627	8.232875402	6.560918576	4.760732326
23.36179943	42.47355042	34.4830897	29.9129661	30.56347425	34.94499942	27.29478852	20.68646621	21.9185248	16.25478868	9.23885468	11.12579035
23.86896746	23.09697303	26.89748462	25.85970396	26.19976287	36.0249581	13.80678529	15.70024076	15.16892664	11.82492342	11.64893756	10.83940056
96.97252027	102.3083907	79.76987172	74.76769555	112.5474556	41.97240904	15.22804825	17.80387717	18.618649	24.68006083	19.58281111	19.91238188
118.3750894	74.62097313	78.1212576	42.02595734	104.9147217	87.54565875	15.68137349	12.01524691	13.06105362	13.21917886	11.94138915	12.77645287
70.12265232	135.0875447	56.97327898	112.3739474	128.7311514	84.65578884	13.8945066	17.91035298	16.94628555	16.76457306	11.18139049	13.95647464
156.2406034	149.0623298	217.4261252	210.1820659	188.8266906	183.1971279	50.07755291	40.15783957	51.76919225	40.71014031	13.11359494	17.25002335
62.63864421	75.05106251	67.58515762	66.35546012	70.08064679	80.34845625	11.29486444	11.55516264	10.63302772	8.99020652	4.559938272	5.400906939
26.20454016	33.14912773	27.58861454	18.62918189	28.82396323	13.4647664	90.30211979	81.85957105	86.51779935	88.45737608	56.01358407	60.98887409
99.1734044	127.5920181	99.4726594	98.40821424	108.3101122	108.7873285	85.87339814	78.40242324	75.95310312	61.21374373	48.94569005	53.01821764
107.4391773	78.74340635	64.67381393	86.66353063	118.7018936	90.11575136	65.89355872	62.78202443	49.3713706	46.97263805	55.93706724	54.71429925
49.34976206	86.1334771	41.56947443	45.44854283	41.70718232	60.11567216	19.24688147	24.91523183	22.00264183	23.92129501	22.38500708	21.32591539
23.57029478	25.5071476	18.65636289	12.65313921	23.63151212	18.39369374	46.41035688	32.58822527	22.60641283	22.48811602	12.07204651	10.44224589
29.84932533	39.05129892	41.96764346	27.33062286	36.61923252	17.57034411	9.568008044	11.69733104	10.01657396	7.041419328	7.976526855	8.310267437
28.9692345	47.92625769	53.35616357	37.46616326	20.68139683	25.63588036	64.60437906	68.66778965	75.4105811	59.03568742	43.92311239	50.37166218
71.8336423	80.88133959	72.1175058	60.82891361	67.13718055	91.006622	73.07836237	92.84051323	77.0406916	67.10763481	73.39760595	79.05670686
33.17831853	40.75154234	32.47153405	30.50302305	43.73111605	44.30236693	71.3565643	59.40040723	56.16502262	49.2636513	44.56833336	46.0934139
25.42595423	39.38372643	25.447674	28.35249532	59.75847707	56.16889153	54.29123933	53.79866094	57.38427272	54.24264645	50.41703735	49.25680005
130.6790419	109.8464877	120.6362222	89.54768937	142.4201039	121.9534155	77.59128991	70.4149431	81.95196941	72.56305989	50.09209262	51.26618067
171.9481349	223.2867919	221.0355102	121.2499786	234.852128	170.4417309	19.93829876	16.47973459	16.10820132	15.51400558	9.938428398	9.018749665
28.41784534	37.57164578	55.43445648	23.41327648	34.39503552	36.38530759	53.39309005	51.02988807	53.70653398	39.11025716	20.03170513	20.17002317
21.41936891	23.66099591	18.42628632	10.07029927	32.29981152	21.42606021	141.7084812	136.7621325	122.9674776	99.46762201	60.85966535	66.38088147
42.18747681	49.32139354	38.25289927	35.20071022	24.24972085	33.15451501	41.97257749	40.25927869	44.78648661	49.98987465	49.23073288	48.31204314
239.9249509	250.2667809	217.9284198	248.0235956	197.1431671	277.937718	64.19492373	52.54383285	52.93383813	46.0980963	48.76625985	46.01637755
79.00030156	66.0125362	91.30939395	76.77086813	72.07124762	77.25713999	15.68985261	12.58364456	15.23683543	12.29567147	5.353206985	7.015322727
187.0492887	273.9388607	128.0743842	281.105648	233.070309	197.4575768	15.77413704	13.40755701	13.40606259	12.74774802	11.77625568	9.797774308
47.91539277	45.39512795	49.0800577	50.91476122	37.69648333	37.53921001	19.24050537	21.54294013	20.08725293	15.27718294	15.80159034	13.36766654
68.94113073	103.6498562	125.856181	114.3044953	139.6377047	151.3178427	16.00714763	16.18715889	20.80394012	19.42701559	18.28232283	12.94524443
13.60710928	20.63285682	10.17016326	18.57352782	7.584979952	17.57542048	6.78310574	5.341718206	6.554274183	8.04136199	6.986825206	6.776726724
0.211077511	0.735406625	1.075357625	0.736817531	0.748317996	0.466737161	28.51673737	32.56464244	35.73298291	31.03512607	21.17756278	22.02599837
128.9724313	112.7968278	149.480377	119.6820139	101.4908776	134.8903842	136.8362798	145.3644708	124.4544547	123.9512443	108.8778205	110.1930365
126.0510644	101.5531634	127.7367666	129.0544866	111.8359358	132.5576934	250.9051378	244.5733257	266.3813211	283.7403303	154.612329	139.748979
8.175850919	3.227411048	3.48025653	24.50296054	14.39467664	28.21592139	23.96969272	23.82999156	21.76240206	20.20547392	15.82381345	14.13775645
59.31747169	47.93023896	60.39456142	155.7532075	73.08250837	158.6712709	32.93453578	25.14463912	29.94340088	24.61604437	32.11234117	27.60966744
176.6226765	183.5176417	204.945563	170.7917643	166.844105	207.4633262	134.8405244	117.1628575	137.2221594	112.7449254	72.29840892	77.63203606
186.8011507	204.4646665	206.0870564	213.8887051	200.9641141	164.2987552	43.83222404	41.7715492	39.91438634	35.95826508	25.62655747	22.72384933
87.84408108	79.49022253	83.37521633	78.66456854	83.15187007	75.64184423	23.19880775	21.34538152	25.99468234	17.00914154	23.71577652	26.30509388
117.690851	96.46820601	137.7241664	104.2004446	92.11386442	67.91761182	11.18108432	13.3150911	10.57460971	12.34975216	9.854154178	9.297490077
72.83632377	70.94704729	68.67794838	66.14844994	59.50377427	78.04207842	11.54177228	10.64099572	12.12217898	18.50536436	7.837264244	6.072132395
106.8352404	103.7581113	134.8334233	101.5213982	93.28335823	90.31705088	229.1449915	238.7628133	199.5205166	192.3930313	86.98999708	78.02504278
210.098526	164.6395264	190.2994257	179.079312	188.0407681	261.9868165	2.577617038	2.341875993	1.736366855	2.249067918	0.921942554	0.351420283
9.679469791	10.59475036	15.88721537	12.975822	11.66569688	16.9476697	33.76427885	30.83453973	34.32893895	30.26865532	26.64702499	21.35804525
382.266422	313.2192507	317.5605473	319.5686864	370.2224381	287.9506486	15.74810483	10.36392388	8.905504355	10.73608745	6.911493205	25.21496887
362.7174124	366.5696349	354.081496	348.7033107	339.7736857	405.1593216	4675.650151	4127.921045	4525.623967	4637.76266	4862.422828	4854.2176
889.9665593	942.7336087	753.0624844	722.8076162	577.771446	670.0059536	0.392493471	0.701106373	0.191687406	0.532044354	1.915830181	1.551811293
388.0642891	393.3210802	373.9080743	369.237049	343.6058516	416.8456891	1081.338243	952.1554602	1215.956508	1138.337165	1058.250643	1095.734241
99.99249562	136.3808033	104.0854983	134.3726241	128.7591003	116.4322753	23.34379335	28.89215209	25.37253942	22.9111431	43.61700225	35.94573043
109.7069169	130.8927953	106.5707707	156.1251021	117.4324692	113.6249785	165.8196171	167.538041	193.7237748	186.6371266	144.3428135	122.2728055
80.60824404	101.1065551	87.8465048	99.92506042	91.60445108	93.21912222	11.85537078	10.00211027	11.54430864	9.658808237	5.720045596	5.047848316
